time,speed,acceleration,ext_temp,Power_data,Power_phys
2023-02-12 00:04:53,0.0,0.0,5,300.96,5069.5
2023-02-12 00:04:55,0.0,0.0,5,376.2,5069.5
2023-02-12 00:04:57,0.0,0.0,5,376.2,5069.5
2023-02-12 00:04:59,0.0,0.0,5,376.2,5069.5
2023-02-12 00:05:01,0.0,0.0,5,376.2,5069.5
2023-02-12 00:05:03,0.0,0.0,5,376.2,5069.5
2023-02-12 00:05:05,0.0,0.0,5,376.2,5069.5
2023-02-12 00:05:07,0.0,0.0,5,300.96,5069.5
2023-02-12 00:05:09,0.0,0.0,5,376.2,5069.5
2023-02-12 00:05:11,0.0,0.0,5,376.2,5069.5
2023-02-12 00:05:13,0.0,0.0,5,376.2,5069.5
2023-02-12 00:05:15,0.0,0.0,5,376.2,5069.5
2023-02-12 00:05:17,0.0,0.0,5,376.2,5069.5
2023-02-12 00:05:19,0.0,0.0,5,300.96,5069.5
2023-02-12 00:05:21,0.0,0.0,5,376.2,5069.5
2023-02-12 00:05:23,0.0,0.0,5,376.2,5069.5
2023-02-12 00:05:25,0.0,0.0,5,376.2,5069.5
2023-02-12 00:05:27,0.0,0.0,5,300.96,5069.5
2023-02-12 00:05:29,0.0,0.0,5,376.2,5069.5
2023-02-12 00:05:31,0.0,0.0,5,376.2,5069.5
2023-02-12 00:05:33,0.0,0.0,5,376.2,5069.5
2023-02-12 00:05:35,0.0,0.0,5,376.2,5069.5
2023-02-12 00:05:37,0.0,0.0,5,376.2,5069.5
2023-02-12 00:05:39,0.0,0.0,5,376.2,5069.5
2023-02-12 00:05:41,0.0,0.0,5,376.2,5069.5
2023-02-12 00:05:43,0.0,0.0,5,376.2,5069.5
2023-02-12 00:05:45,0.0,0.0,5,376.2,5069.5
2023-02-12 00:05:47,3.3333600000000003,1.6666800000000002,5,5938.43,20332.26128549728
2023-02-12 00:05:49,6.666720000000001,1.6666800000000002,5,11410.64,35775.483600894164
2023-02-12 00:05:51,7.50006,0.4166699999999999,5,902.4,15017.567245421638
2023-02-12 00:05:53,8.055620000000001,0.2777800000000003,5,10584.87,12860.069492040046
2023-02-12 00:05:55,8.88896,0.4166699999999999,5,11033.82,16998.733879108535
2023-02-12 00:05:57,10.00008,0.5555599999999998,5,11931.36,22281.83465104541
2023-02-12 00:05:59,10.55564,0.2777799999999999,5,7508.0,15603.55413885731
2023-02-12 00:06:01,10.55564,0.0,5,0.0,7891.059032597464
2023-02-12 00:06:03,10.27786,-0.1388899999999999,5,0.0,5516.144876376677
2023-02-12 00:06:05,10.27786,0.0,5,0.0,7778.457699580587
2023-02-12 00:06:07,10.00008,-0.1388899999999999,5,0.0,5467.51679527075
2023-02-12 00:06:09,9.7223,-0.1388899999999999,5,0.0,5421.655317839528
2023-02-12 00:06:11,9.7223,0.0,5,0.0,7561.680961410795
2023-02-12 00:06:13,9.44452,-0.1388899999999999,4,0.0,5661.997385663086
2023-02-12 00:06:15,9.44452,0.0,4,0.0,7740.879439418031
2023-02-12 00:06:17,9.16674,-0.1388899999999999,4,0.0,5621.4799403215
2023-02-12 00:06:19,9.16674,0.0,4,75.21000000000001,7639.218404260124
