time,speed,acceleration,ext_temp,chrg_cable_conn,pack_volt,pack_current,Power_data
2023-07-01 10:21:23,0.0,0.0,26,0,780.2,0.8,624.1600000000001
2023-07-01 10:21:25,0.0,0.0,26,0,780.2,0.8,624.1600000000001
2023-07-01 10:21:27,0.0,0.0,26,0,780.3,0.8,624.24
2023-07-01 10:21:29,0.0,0.0,26,0,780.2,0.8,624.1600000000001
2023-07-01 10:21:31,0.0,0.0,26,0,780.2,0.9,702.1800000000001
2023-07-01 10:21:33,0.0,0.0,26,0,780.2,1.0,780.2
2023-07-01 10:21:35,0.0,0.0,26,0,780.2,1.0,780.2
2023-07-01 10:21:37,0.0,0.0,26,0,780.2,0.9,702.1800000000001
2023-07-01 10:21:39,0.0,0.0,26,0,780.2,0.9,702.1800000000001
2023-07-01 10:21:41,0.0,0.0,26,0,780.2,0.9,702.1800000000001
2023-07-01 10:21:43,0.0,0.0,26,0,780.2,0.9,702.1800000000001
2023-07-01 10:21:45,0.0,0.0,26,0,780.2,0.9,702.1800000000001
2023-07-01 10:21:47,0.0,0.0,26,0,780.2,0.9,702.1800000000001
2023-07-01 10:21:49,0.0,0.0,26,0,780.2,0.8,624.1600000000001
2023-07-01 10:21:51,0.0,0.0,26,0,780.2,0.8,624.1600000000001
2023-07-01 10:21:53,0.0,0.0,26,0,780.2,0.8,624.1600000000001
2023-07-01 10:21:55,0.0,0.0,26,0,780.2,0.8,624.1600000000001
2023-07-01 10:21:57,0.0,0.0,26,0,780.2,0.8,624.1600000000001
2023-07-01 10:21:59,0.0,0.0,26,0,780.2,0.8,624.1600000000001
2023-07-01 10:22:01,0.0,0.0,26,0,780.2,0.8,624.1600000000001
2023-07-01 10:22:03,0.0,0.0,26,0,780.2,0.8,624.1600000000001
2023-07-01 10:22:05,0.0,0.0,26,0,780.2,0.7,546.14
2023-07-01 10:22:07,0.0,0.0,26,0,780.2,0.8,624.1600000000001
2023-07-01 10:22:09,0.0,0.0,26,0,780.2,0.7,546.14
2023-07-01 10:22:11,0.0,0.0,26,0,780.2,0.7,546.14
2023-07-01 10:22:13,0.0,0.0,26,0,780.2,0.7,546.14
2023-07-01 10:22:15,0.0,0.0,26,0,780.2,0.8,624.1600000000001
2023-07-01 10:22:17,0.0,0.0,26,0,780.2,0.7,546.14
2023-07-01 10:22:19,0.0,0.0,26,0,780.2,0.7,546.14
2023-07-01 10:22:21,0.0,0.0,26,0,780.2,0.7,546.14
2023-07-01 10:22:23,0.0,0.0,26,0,780.2,0.7,546.14
2023-07-01 10:22:25,0.0,0.0,26,0,780.2,0.7,546.14
2023-07-01 10:22:27,0.0,0.0,26,0,780.2,0.7,546.14
2023-07-01 10:22:29,0.0,0.0,26,0,780.2,0.7,546.14
2023-07-01 10:22:31,0.0,0.0,26,0,780.2,0.7,546.14
2023-07-01 10:22:33,0.0,0.0,26,0,780.2,0.7,546.14
2023-07-01 10:22:35,0.0,0.0,26,0,780.2,0.7,546.14
2023-07-01 10:22:37,0.0,0.0,26,0,780.2,0.7,546.14
2023-07-01 10:22:39,0.0,0.0,26,0,780.2,0.7,546.14
2023-07-01 10:22:41,0.0,0.0,26,0,780.2,0.7,546.14
2023-07-01 10:22:43,0.0,0.0,26,0,780.2,0.7,546.14
2023-07-01 10:22:45,0.0,0.0,26,0,780.2,0.8,624.1600000000001
2023-07-01 10:22:47,0.0,0.0,26,0,780.2,0.7,546.14
2023-07-01 10:22:49,0.0,0.0,26,0,780.2,0.7,546.14
2023-07-01 10:22:51,0.0,0.0,26,0,780.2,0.7,546.14
2023-07-01 10:22:53,0.0,0.0,26,0,780.2,0.7,546.14
2023-07-01 10:22:55,0.0,0.0,26,0,780.2,0.7,546.14
2023-07-01 10:22:57,0.0,0.0,26,0,780.2,0.7,546.14
2023-07-01 10:22:59,0.0,0.0,26,0,780.2,0.7,546.14
2023-07-01 10:23:01,0.0,0.0,26,0,780.2,0.7,546.14
2023-07-01 10:23:03,0.0,0.0,26,0,780.2,0.7,546.14
2023-07-01 10:23:05,0.0,0.0,26,0,780.2,0.7,546.14
2023-07-01 10:23:07,0.0,0.0,26,0,780.2,0.7,546.14
2023-07-01 10:23:09,0.0,0.0,26,0,780.2,0.7,546.14
2023-07-01 10:23:11,0.0,0.0,26,0,780.2,0.9,702.1800000000001
2023-07-01 10:23:13,0.0,0.0,26,0,780.0,2.09,1630.1999999999998
2023-07-01 10:23:15,1.3889,0.69445,26,0,780.0,2.5,1950.0
2023-07-01 10:23:17,1.6666800000000002,0.13889,26,0,780.0,2.7,2106.0
2023-07-01 10:23:19,1.9444600000000003,0.13889,26,0,779.9,3.6,2807.64
2023-07-01 10:23:21,3.3333600000000003,0.69445,26,0,779.5,7.4,5768.3
2023-07-01 10:23:23,4.44448,0.55556,26,0,779.5,6.7,5222.650000000001
2023-07-01 10:23:25,5.00004,0.2777799999999999,26,0,780.1,-0.5,-390.05
2023-07-01 10:23:27,3.0555800000000004,-0.97223,26,0,780.3,-1.1,-858.33
2023-07-01 10:23:29,2.7778,-0.1388900000000001,26,0,780.1,1.2,936.12
