time,speed,acceleration,ext_temp,chrg_cable_conn,pack_volt,pack_current,Power_data
2023-04-04 06:55:09,1.6666800000000002,-0.8333400000000001,14,0,777.1,-0.2,-155.42000000000002
2023-04-04 06:55:11,0.0,-0.8333400000000001,14,0,776.7,2.3,1786.41
2023-04-04 06:55:13,0.0,0.0,14,0,776.7,3.6,2796.1200000000003
2023-04-04 06:55:15,0.0,0.0,14,0,775.2,3.5,2713.2000000000003
2023-04-04 06:55:17,0.0,0.0,14,0,776.7,0.5,388.35
2023-04-04 06:55:19,0.0,0.0,14,0,776.7,0.3,233.01
2023-04-04 06:55:21,0.0,0.0,14,0,776.7,1.8,1398.0600000000002
2023-04-04 06:55:23,0.0,0.0,14,0,776.7,2.9,2252.43
2023-04-04 06:55:25,3.61114,1.80557,14,0,774.9,19.1,14800.59
2023-04-04 06:55:27,6.944500000000001,1.6666800000000002,14,0,772.9,25.4,19631.66
2023-04-04 06:55:29,8.055620000000001,0.5555600000000003,14,0,774.6,18.6,14407.56
2023-04-04 06:55:31,8.611180000000001,0.2777799999999999,14,0,775.2,13.0,10077.6
2023-04-04 06:55:33,9.16674,0.2777799999999999,14,0,774.8,14.8,11467.04
2023-04-04 06:55:35,9.16674,0.0,14,0,775.4,7.6,5893.04
2023-04-04 06:55:37,8.611180000000001,-0.2777799999999999,14,0,776.7,-3.1,-2407.7700000000004
2023-04-04 06:55:39,8.611180000000001,0.0,14,0,775.4,11.4,8839.56
2023-04-04 06:55:41,8.333400000000001,-0.1388899999999999,14,0,777.0,-1.9,-1476.3
2023-04-04 06:55:43,6.944500000000001,-0.6944500000000002,14,0,775.5,-2.3,-1783.65
2023-04-04 06:55:45,5.833380000000001,-0.5555599999999998,14,0,775.3,0.1,77.53
2023-04-04 06:55:47,3.61114,-1.1111200000000003,14,0,777.4,-7.8,-6063.719999999999
2023-04-04 06:55:49,0.0,-1.80557,14,0,776.7,1.1,854.3700000000001
2023-04-04 06:55:51,0.0,0.0,14,0,776.5,1.9,1475.35
2023-04-04 06:55:53,0.0,0.0,14,0,776.5,0.9,698.85
2023-04-04 06:55:55,0.0,0.0,14,0,776.5,4.69,3641.785
2023-04-04 06:55:57,0.0,0.0,14,0,776.5,3.1,2407.15
2023-04-04 06:55:59,1.6666800000000002,0.8333400000000001,14,0,775.9,8.8,6827.92
2023-04-04 06:56:01,4.72226,1.52779,14,0,774.6,18.1,14020.260000000002
2023-04-04 06:56:03,6.111160000000001,0.6944500000000002,14,0,774.9,16.0,12398.4
2023-04-04 06:56:05,6.388940000000001,0.1388899999999999,14,0,773.9,11.5,8899.85
2023-04-04 06:56:07,5.833380000000001,-0.2777799999999999,14,0,776.4,0.1,77.64
2023-04-04 06:56:09,5.833380000000001,0.0,14,0,774.9,13.3,10306.17
2023-04-04 06:56:11,7.777840000000001,0.97223,14,0,773.6,24.5,18953.2
2023-04-04 06:56:13,8.611180000000001,0.4166699999999999,14,0,775.3,6.9,5349.57
2023-04-04 06:56:15,7.777840000000001,-0.4166699999999999,14,0,777.1,-7.5,-5828.25
2023-04-04 06:56:17,7.22228,-0.2777800000000003,14,0,776.9,-2.3,-1786.87
2023-04-04 06:56:19,6.666720000000001,-0.2777799999999999,14,0,776.8,-1.9,-1475.9199999999998
2023-04-04 06:56:21,6.388940000000001,-0.1388899999999999,14,0,776.9,-1.2,-932.28
2023-04-04 06:56:23,4.1667000000000005,-1.11112,14,0,777.6,-7.5,-5832.0
2023-04-04 06:56:25,0.0,-2.0833500000000003,14,0,776.5,4.4,3416.6000000000004
2023-04-04 06:56:27,0.0,0.0,14,0,776.4,2.7,2096.28
2023-04-04 06:56:29,0.0,0.0,14,0,776.5,0.6,465.9
2023-04-04 06:56:31,0.0,0.0,14,0,774.5,4.69,3632.405
2023-04-04 06:56:33,0.0,0.0,14,0,776.4,0.5,388.2
2023-04-04 06:56:35,0.0,0.0,14,0,776.4,0.5,388.2
2023-04-04 06:56:37,0.0,0.0,14,0,776.4,2.5,1941.0
2023-04-04 06:56:39,0.0,0.0,14,0,776.4,5.6,4347.839999999999
2023-04-04 06:56:41,0.0,0.0,14,0,774.5,5.1,3949.95
2023-04-04 06:56:43,0.0,0.0,14,0,776.4,5.7,4425.48
2023-04-04 06:56:45,0.0,0.0,14,0,775.5,5.4,4187.700000000001
2023-04-04 06:56:47,0.0,0.0,14,0,776.4,2.6,2018.64
2023-04-04 06:56:49,0.0,0.0,14,0,776.4,0.9,698.76
2023-04-04 06:56:51,0.0,0.0,14,0,776.4,0.8,621.12
2023-04-04 06:56:53,0.0,0.0,14,0,776.4,0.9,698.76
2023-04-04 06:56:55,0.0,0.0,14,0,776.4,3.6,2795.04
2023-04-04 06:56:57,0.0,0.0,14,0,774.8,3.9,3021.72
2023-04-04 06:56:59,0.0,0.0,14,0,776.4,3.2,2484.48
2023-04-04 06:57:01,0.0,0.0,14,0,776.4,3.1,2406.84
2023-04-04 06:57:03,0.0,0.0,14,0,776.3,3.2,2484.16
2023-04-04 06:57:05,0.0,0.0,14,0,776.3,2.2,1707.86
2023-04-04 06:57:07,0.0,0.0,14,0,776.3,0.8,621.04
2023-04-04 06:57:09,0.0,0.0,14,0,776.3,3.0,2328.9
2023-04-04 06:57:11,0.0,0.0,14,0,776.3,5.3,4114.389999999999
2023-04-04 06:57:13,0.0,0.0,14,0,775.4,5.1,3954.54
2023-04-04 06:57:15,0.0,0.0,14,0,776.3,2.09,1622.467
2023-04-04 06:57:17,0.0,0.0,14,0,776.3,5.0,3881.5
2023-04-04 06:57:19,0.0,0.0,14,0,775.0,5.1,3952.5
2023-04-04 06:57:21,0.0,0.0,14,0,776.3,3.2,2484.16
2023-04-04 06:57:23,0.0,0.0,14,0,776.3,0.9,698.67
2023-04-04 06:57:25,0.0,0.0,14,0,776.3,4.5,3493.35
2023-04-04 06:57:27,0.0,0.0,14,0,776.3,0.9,698.67
2023-04-04 06:57:29,0.0,0.0,14,0,776.3,0.9,698.67
2023-04-04 06:57:31,0.0,0.0,14,0,776.3,3.0,2328.9
2023-04-04 06:57:33,0.0,0.0,14,0,776.4,2.5,1941.0
2023-04-04 06:57:35,0.0,0.0,14,0,774.9,2.6,2014.74
2023-04-04 06:57:37,0.0,0.0,14,0,776.3,0.6,465.78
2023-04-04 06:57:39,0.0,0.0,14,0,776.4,0.5,388.2
2023-04-04 06:57:41,0.0,0.0,14,0,776.4,0.6,465.84
2023-04-04 06:57:43,0.0,0.0,14,0,776.4,2.4,1863.36
2023-04-04 06:57:45,0.0,0.0,14,0,776.4,0.6,465.84
2023-04-04 06:57:47,0.0,0.0,14,0,776.4,2.2,1708.0800000000002
2023-04-04 06:57:49,0.0,0.0,14,0,776.4,3.7,2872.68
2023-04-04 06:57:51,0.0,0.0,14,0,776.4,3.0,2329.2
2023-04-04 06:57:53,0.0,0.0,14,0,776.3,1.3,1009.19
2023-04-04 06:57:55,1.6666800000000002,0.8333400000000001,14,0,775.7,7.1,5507.47
2023-04-04 06:57:57,4.72226,1.52779,14,0,774.7,15.1,11697.97
2023-04-04 06:57:59,5.27782,0.2777799999999999,14,0,775.5,10.4,8065.200000000001
2023-04-04 06:58:01,5.27782,0.0,14,0,775.9,3.2,2482.88
2023-04-04 06:58:03,5.27782,0.0,14,0,776.5,-0.5,-388.25
